timestamp,src_ip,dst_ip,src_mac,dst_mac,protocol,length,info,command,label
1755981755.7729504,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,56,RadioTap / 802.11 Control RTS 38:fc:98:e9:e3:50 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755981755.7730951,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,781,RadioTap / Dot11FCS / Dot11QoS / LLC / SNAP / IPv6 / UDP fe80::bf00:8f48:4ffe:9214:59692 > ff02::c:3702 / Raw,,normal
1755981755.7759006,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,56,RadioTap / 802.11 Control RTS 38:fc:98:e9:e3:50 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755981755.7759118,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,781,RadioTap / Dot11FCS / Dot11QoS / LLC / SNAP / IPv6 / UDP fe80::bf00:8f48:4ffe:9214:59692 > ff02::c:3702 / Raw,,normal
1755981755.7784712,192.168.1.1,192.168.1.2,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,UDP,141,UDP Packet 192.168.1.1:14551 -> 192.168.1.2:14550,,normal
1755981755.778482,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755981755.7803223,,,a0:14:3d:ed:92:14,33:33:00:00:00:0c,802.11,776,RadioTap / Dot11FCS / LLC / SNAP / IPv6 / UDP fe80::bf00:8f48:4ffe:9214:59692 > ff02::c:3702 / Raw,,normal
1755981755.8327012,,,a0:14:3d:ed:92:14,ff:ff:ff:ff:ff:ff,802.11,207,"Beacon Frame, SSID='Hidden'",,normal
1755981755.8486211,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,56,RadioTap / 802.11 Control RTS 38:fc:98:e9:e3:50 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755981755.8487291,192.168.1.2,224.0.0.251,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,UDP,145,UDP Packet 192.168.1.2:5353 -> 224.0.0.251:5353,,normal
1755981755.8506134,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,56,RadioTap / 802.11 Control RTS 38:fc:98:e9:e3:50 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755981755.8506236,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,165,RadioTap / Dot11FCS / Dot11QoS / LLC / SNAP / IPv6 / UDP / mDNS Qry b'_googlecast._tcp.local.',,normal
1755981755.8506303,192.168.1.2,224.0.0.251,a0:14:3d:ed:92:14,01:00:5e:00:00:fb,UDP,140,UDP Packet 192.168.1.2:5353 -> 224.0.0.251:5353,,normal
1755981755.850633,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,56,RadioTap / 802.11 Control RTS 38:fc:98:e9:e3:50 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755981755.8507748,192.168.1.2,224.0.0.251,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,UDP,145,UDP Packet 192.168.1.2:5353 -> 224.0.0.251:5353,,normal
1755981755.8529854,,,a0:14:3d:ed:92:14,33:33:00:00:00:fb,802.11,160,RadioTap / Dot11FCS / LLC / SNAP / IPv6 / UDP / mDNS Qry b'_googlecast._tcp.local.',,normal
1755981755.854597,192.168.1.2,224.0.0.251,a0:14:3d:ed:92:14,01:00:5e:00:00:fb,UDP,140,UDP Packet 192.168.1.2:5353 -> 224.0.0.251:5353,,normal
1755981755.8546066,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,73,RadioTap / 802.11 Management Action 38:fc:98:e9:e3:50 (TA=SA) > a0:14:3d:ed:92:14 (RA=DA) / Dot11Action / Raw,,normal
1755981755.8553689,,,a0:14:3d:ed:92:14,38:fc:98:e9:e3:50,802.11,73,RadioTap / 802.11 Management Action a0:14:3d:ed:92:14 (TA=SA) > 38:fc:98:e9:e3:50 (RA=DA) / Dot11Action / Raw,,normal
1755981755.8569376,,,,a0:14:3d:ed:92:14,802.11,50,RadioTap / 802.11 Control Ack 00:00:00:00:00:00 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755981755.8569465,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,56,RadioTap / 802.11 Control RTS 38:fc:98:e9:e3:50 (TA) > a0:14:3d:ed:92:14 (RA),,normal
1755981755.8569517,,,38:fc:98:e9:e3:50,a0:14:3d:ed:92:14,802.11,165,RadioTap / Dot11FCS / Dot11QoS / LLC / SNAP / IPv6 / UDP / mDNS Qry b'_googlecast._tcp.local.',,normal
